;regiao_saude;retencao_geral
0;27010;0.5154350936185293
0;27007;0.6662004655278694
0;27004;0.5329886850452108
0;27001;0.7586593501199308
0;27005;0.5987001317910959
0;27003;0.5531438084677832
0;27009;0.5321979978849607
0;27006;0.4700389468951075
0;27008;0.6417841281811869
0;27002;0.521958091098716
0;13008;0.41403708575495163
0;13009;0.5221204150247094
0;13002;0.5544777914108537
0;13003;0.5250225748093208
0;13001;0.706294724774927
0;13005;0.6155475370505922
0;13007;0.5538828239792608
0;13004;0.5341511160291641
0;13006;0.615389316987468
0;16001;0.7162150938944484
0;16002;0.48302185211907434
0;16003;0.5775793448647888
0;29020;0.7284175681913904
0;29004;0.5821780028532515
0;29001;0.5189372062284594
0;29019;0.5178074183846977
0;29026;0.6176257755973469
0;29011;0.5170613678176655
0;29002;0.6466912510616356
0;29024;0.5936598681479384
0;29006;0.6110852864053586
0;29008;0.569618106140737
0;29028;0.6407850328351017
0;29010;0.5734024614974859
0;29025;0.6072971388297161
0;29021;0.6817911228580952
0;29023;0.5081355001836692
0;29012;0.6542000976347183
0;29013;0.5973672177274301
0;29007;0.6579927135790696
0;29014;0.5230569935912175
0;29027;0.5556258957592843
0;29009;0.5747468661973305
0;29022;0.5666319045470477
0;29005;0.5203521518183871
0;29016;0.5708449350438938
0;29018;0.6188611911703624
0;29017;0.6066434254269206
0;29003;0.5878703680290919
0;29015;0.6216391044843141
0;32004;0.6814235551229126
0;32002;0.70867026884293
0;32005;0.6758703193094359
0;52011;0.6226724655457077
0;52004;0.5009515974067394
0;52007;0.6088933007753676
0;52001;0.7076534987348878
0;52002;0.5803336536918664
0;52009;0.5844782910235642
0;52018;0.6535750157766205
0;52008;0.5553647099470455
0;52010;0.571768042598916
0;52017;0.6202291743017725
0;52005;0.6370253784661758
0;52014;0.5736972943647297
0;52006;0.5516849332325522
0;52013;0.5815099804498045
0;52016;0.6258047382911949
0;52003;0.5184495390333925
0;52012;0.5181605171762361
0;52015;0.6727973185012779
0;21001;0.5603095722897625
0;21005;0.6538143132341665
0;21007;0.5922632693162628
0;21014;0.5745210291445758
0;21003;0.6671040716359191
0;21009;0.5262274069778095
0;21011;0.5164170956632591
0;21006;0.5141455937364319
0;21002;0.5635453050217976
0;21013;0.5153937643156771
0;21015;0.6045788481817391
0;21004;0.5676282404117314
0;21008;0.6465392921089474
0;21018;0.4690076932332329
0;21019;0.5689915699464904
0;21012;0.5614037607943809
0;21010;0.6594872109690157
0;21017;0.5125046955483693
0;21016;0.773676907338746
0;50004;0.6641734231160752
0;50003;0.6662885833224548
0;50001;0.7205765397051105
0;50002;0.7555976267331861
0;51006;0.5856766504006207
0;51001;0.5505747299100059
0;51013;0.5951653851184368
0;51005;0.6199085684688087
0;51011;0.5591759525318825
0;51007;0.5476000871027334
0;51010;0.6016104674192908
0;51008;0.5411888711614926
0;51002;0.666238396211497
0;51004;0.5311871450554223
