;regiao_saude;retencao_geral
0;13008;0.10294117647058823
0;13001;0.5231010207113149
0;13009;0.058823529411764705
0;13002;0.15441176470588236
0;13003;0.20955882352941177
0;13004;0.11764705882352941
0;13006;0.04411764705882353
0;13005;0.14705882352941177
0;13007;0.125
0;16002;0.022058823529411766
0;16003;0.16176470588235295
0;16001;0.3125
0;29003;0.3127450980392157
0;29001;0.3021870286576169
0;29026;0.28566176470588234
0;29022;0.3112745098039215
0;29006;0.38049977343878727
0;29010;0.392156862745098
0;29024;0.24203431372549017
0;29025;0.424203431372549
0;29008;0.17524509803921567
0;29028;0.4298875432525952
0;29002;0.34375000000000006
0;29015;0.40604575163398693
0;29021;0.43014705882352944
0;29013;0.2588235294117647
0;29005;0.18596813725490194
0;29007;0.3376225490196078
0;29012;0.44957983193277307
0;29004;0.38817065287653524
0;29020;0.49700062300253833
0;29016;0.42287581699346405
0;29017;0.3112745098039215
0;29019;0.28860294117647056
0;29018;0.4175420168067227
0;29027;0.23301820728291317
0;29011;0.2647058823529412
0;29009;0.37342436974789917
0;29023;0.33517156862745096
0;29014;0.2974264705882353
0;23012;0.2867647058823529
0;23014;0.1875
0;23006;0.2892156862745098
0;23001;0.5284497673215371
0;23007;0.16911764705882354
0;23019;0.26421568627450975
0;23021;0.4842553688141924
0;23004;0.2426470588235294
0;23005;0.23651960784313725
0;23016;0.21323529411764705
0;23011;0.41531279178338
0;23022;0.21047794117647056
0;23002;0.2886817226890756
0;23015;0.2660014005602241
0;23020;0.2806985294117647
0;23010;0.25735294117647056
0;23003;0.2974089635854341
0;23013;0.26715686274509803
0;23017;0.1485294117647059
0;23018;0.3192401960784314
0;23009;0.21691176470588236
0;23008;0.24334733893557423
0;53001;0.509953505957277
0;32002;0.526545681607017
0;32005;0.46609432234432235
0;32004;0.43780875986758344
0;52004;0.3456232492997199
0;52011;0.46758982439129493
0;52001;0.45654738835548414
0;52002;0.40353901129829917
0;52012;0.2261029411764706
0;52007;0.04779411764705882
0;52017;0.2711484593837535
0;52005;0.3643207282913165
0;52013;0.29044117647058826
0;52008;0.0661764705882353
0;52003;0.375735294117647
0;52009;0.14705882352941177
0;52018;0.3431372549019608
0;52016;0.3953431372549019
0;52014;0.10294117647058823
0;52010;0.16299019607843138
0;52015;0.4333333333333333
0;15011;0.25735294117647056
0;15007;0.1844362745098039
0;15001;0.21446078431372548
0;15002;0.22977941176470587
0;15012;0.22549019607843135
0;15006;0.4736884971379856
0;15009;0.2795868347338936
0;15003;0.37745098039215685
0;15004;0.23713235294117646
0;15014;0.11764705882352941
0;15008;0.29854826546003016
0;15010;0.1213235294117647
0;26001;0.267156862745098
0;26009;0.33721988795518204
0;26003;0.397480936819172
0;26008;0.39276960784313725
0;26005;0.33353758169934644
0;26010;0.49014048302247726
0;26002;0.3012254901960784
0;26007;0.2656862745098039
0;26004;0.34411764705882353
0;26012;0.4404411764705882
0;26006;0.33798727824463115
0;26011;0.1905637254901961
0;22007;0.08823529411764706
