;regiao_saude;retencao_geral
0;27010;0.5399075791932934
0;27007;0.5736116687048254
0;27004;0.48694279450093403
0;27001;0.8890702163012479
0;27005;0.4621206618016739
0;27003;0.5100171808341742
0;27009;0.4855113787632585
0;27006;0.5508065909135428
0;27008;0.5347861471861473
0;27002;0.5629027411004155
0;13008;0.44375600405012167
0;13009;0.5475506045703509
0;13002;0.4948588724708127
0;13003;0.4694660528962854
0;13001;0.6991171557283886
0;13005;0.5839387653715139
0;13007;0.5466191625483662
0;13004;0.4703372955766937
0;13006;0.644478247037302
0;16001;0.7366613756159446
0;16002;0.5394742354419774
0;16003;0.6544673163606322
0;29020;0.7647567080050354
0;29004;0.5547426541987472
0;29001;0.47301037672827784
0;29019;0.5434986505821489
0;29026;0.6126607133095022
0;29011;0.4239205706103291
0;29002;0.5831686302320522
0;29024;0.5365352201585925
0;29006;0.5368410464653965
0;29008;0.5536854980036797
0;29028;0.6435011779374652
0;29010;0.5685835362214039
0;29025;0.4786312087252733
0;29021;0.6072284064834373
0;29023;0.459899948167492
0;29012;0.6579021552237633
0;29013;0.5865052458912108
0;29007;0.5758743035830719
0;29014;0.4352328060989879
0;29027;0.5640776026872948
0;29009;0.6313006256633706
0;29022;0.42175261208810233
0;29005;0.4443974688097383
0;29016;0.6150118515447799
0;29018;0.614199229499835
0;29017;0.5553170171989604
0;29003;0.5517498091520148
0;29015;0.538979721321442
0;32004;0.6893875670807617
0;32002;0.7884746225615628
0;32005;0.713931395566079
0;52011;0.680226201649686
0;52004;0.5244163789643712
0;52007;0.5960347775473827
0;52001;0.8275409787911548
0;52002;0.5909124515585761
0;52009;0.5840966921119591
0;52018;0.6187735356596903
0;52008;0.6279533783210254
0;52010;0.7193699652148405
0;52017;0.7379287785928569
0;52005;0.8092339977785301
0;52014;0.6388765289418885
0;52006;0.7347517730496453
0;52013;0.6461798456013421
0;52016;0.6908782904661104
0;52003;0.4956345611568362
0;52012;0.5539680585152721
0;52015;0.8152798623612836
0;21001;0.5720471555193778
0;21005;0.5045913653180089
0;21007;0.4201114609994643
0;21014;0.4608361481951112
0;21003;0.5408601430768386
0;21009;0.3617541119189869
0;21011;0.35865149855906275
0;21006;0.4555916826108351
0;21002;0.4392100455060022
0;21013;0.3778730902775732
0;21015;0.4440590465478666
0;21004;0.5354415358190938
0;21008;0.6244207022017322
0;21018;0.34407680252959544
0;21019;0.38766646370466706
0;21012;0.45394232617980174
0;21010;0.436855198490008
0;21017;0.4704389664885337
0;21016;0.7868739101509663
0;50004;0.7403219841948557
0;50003;0.7186065475438138
0;50001;0.7180090280301403
0;50002;0.7789805575354399
0;51006;0.6456033878798106
0;51001;0.6405048017116983
0;51013;0.6839894743945122
0;51005;0.5532071482439129
0;51011;0.7285543351198748
0;51007;0.6792718768559558
0;51010;0.755398322851153
0;51008;0.6525
0;51002;0.778033401669563
0;51004;0.5483253240133974
0;51014;0.6839354708250429
0;51015;0.49536231884057974
0;51016;0.6238775510204082
0;51012;0.677924110820799
0;51003;0.6605227016991723
0;51009;0.7586580086580087
0;22004;0.6721032536593436
0;22006;0.539784398607928
0;22002;0.6133138259760232
0;22003;0.45997843255129844
0;22011;0.5182410722092629
0;22005;0.6154486279102127
0;22001;0.5349695747932636
0;22010;0.5256002886002885
0;22009;0.6261489793836623
0;22007;0.5971861471861472
0;22008;0.49523282488398773
0;33007;0.6545164633653477
0;33006;0.6366077968988062
0;33009;0.7565299380961543
0;33005;0.6373268277921829
0;33001;0.7298806953301766
0;33002;0.6850725657596982
0;33004;0.7918728513997148
0;33003;0.6741519116951992
0;33008;0.8137989370166233
0;11001;0.6822554662890797
0;11002;0.8196220866371206
0;11006;0.8129529309838567
0;11007;0.7796130952380952
0;11004;0.8053711171333572
0;11003;0.836530244673627
0;11005;0.7990534051002317
0;14001;0.6228672824908812
0;14002;0.46921469733969734
0;43001;0.7485131933304981
0;43013;0.7747198403448404
0;43003;0.7872814300887931
0;43015;0.768671932642521
0;43010;0.871102488988415
0;43029;0.7118940981884322
0;43026;0.7479923388070923
0;43009;0.7252607660990482
0;43027;0.7767938592549319
0;43019;0.8001788856568268
0;43022;0.8312106708586561
0;43008;0.7552767957391749
0;43025;0.7998265054005539
0;43014;0.7059721796950899
0;43004;0.7168352587583356
0;43016;0.6920834033885505
0;43024;0.8259210138520483
0;43030;0.7338554720133668
0;43020;0.6690723062945284
0;43007;0.8282041229290933
0;43023;0.8729924814043836
0;43021;0.7533901211699752
0;43017;0.7312078173546913
0;43011;0.6358234312540222
0;43012;0.6786151960784313
0;43018;0.6783148308342946
0;43006;0.7085274600270731
0;43005;0.7351204424799285
0;43002;0.6674404231389525
0;43028;0.7988972804190319
0;17005;0.5522517826188654
0;17001;0.5404516016251799
0;17002;0.4555645194563424
0;17003;0.5241193618209747
0;17007;0.5628921481744062
0;17008;0.5218973554334014
0;17004;0.5707435211846976
0;17006;0.7143312456435857
0;12001;0.6758043758043758
0;12003;0.5942098621075894
0;12002;0.665680394900027
0;53001;0.6381730038555408
0;31074;0.722867845255905
0;31024;0.6916511833034323
0;31037;0.6557871362253161
0;31062;0.4993030545551554
0;31068;0.5471547619047619
0;31040;0.6131099353321575
0;31041;0.654971340388007
0;31001;0.7194155536117437
0;31094;0.5045980163627222
0;31059;0.6441591035832969
0;31060;0.4914441401022136
0;31006;0.8636348812100091
0;31035;0.6521988876562751
0;31064;0.6308911372864862
0;31075;0.8482135605445624
0;31061;0.6190598129799184
0;31070;0.7233007747010776
0;31087;0.7853207091803585
0;31058;0.7465227786918963
0;31008;0.7193406400859506
0;31021;0.6820228471737796
0;31013;0.6746984029285652
0;31023;0.7314979546597193
0;31016;0.8251890237570613
0;31017;0.7260365772568629
0;31047;0.6309290043290043
0;31011;0.7531681839402427
0;31083;0.5372078490188725
0;31028;0.6867317591679047
0;31092;0.8415969178740077
0;31034;0.5963040431790432
0;31015;0.7575819889944377
0;31007;0.8010579463860741
0;31077;0.8069355014733165
0;31049;0.4511632731446973
0;31003;0.8293594611657693
0;31042;0.5721967338646906
0;31089;0.6672144300144299
0;31027;0.5714107563344204
0;31073;0.7050903352657739
0;31051;0.37807991943743735
0;31093;0.672525309336333
0;31010;0.791744054108036
0;31082;0.6938542740681778
0;31044;0.7311169467787114
0;31097;0.7952472574668272
0;31086;0.867654293709266
0;31072;0.7536050204616382
0;31025;0.7276249967816075
0;31078;0.7538456151113156
0;31079;0.6945524042950514
0;31018;0.7639990569615063
0;31050;0.5446858465608465
0;31036;0.7319590293432425
0;31057;0.7725390106337338
0;31019;0.6676854395604396
0;31091;0.8038690476190478
0;31026;0.6195315023322542
0;31048;0.6374597185458758
0;31012;0.8967956308397484
0;31030;0.6354545985060691
0;31071;0.6842645904172721
0;31020;0.5436036874053404
0;31002;0.7595000678334013
0;31022;0.7571194736635913
0;31084;0.7801763778076339
0;31053;0.5402048094355787
0;31096;0.6385802469135803
0;31031;0.7302348794995853
0;31004;0.793549707093176
0;31009;0.7319619514472455
0;31052;0.47480049607744945
0;31090;0.6034062725468975
0;31038;0.6075859241768332
0;31065;0.4607391053391054
0;31045;0.5601264622509682
0;31066;0.8571428571428572
0;31032;0.6294167180749035
0;31099;0.6320056558175176
0;31088;0.7322743358839616
0;31080;0.7329024943310658
0;31046;0.7723577235772358
0;31085;0.47135471802990986
0;31081;0.7452380952380953
0;31055;0.5148451426024955
0;31067;0.7042124542124542
0;31076;0.6172681704260652
0;31095;0.6026411657559197
0;31098;0.5190781294728664
0;15011;0.5705909283948917
0;15013;0.48768436578171087
0;15012;0.4438479675587865
0;15006;0.7467159248993204
0;15009;0.4523344959720821
0;15014;0.5759281894576013
0;15002;0.6500332300138801
0;15004;0.6257644724556489
0;15003;0.7421312844701005
0;15008;0.4953518084141346
0;15007;0.41751235704240813
0;15001;0.5991609745861772
0;15010;0.6466112370874275
0;25007;0.5444162367528381
0;25003;0.470038801767855
0;25014;0.3746010587626255
0;25001;0.6772579366225657
0;25008;0.49449306416870675
0;25015;0.42701156984369404
